Time,"PV Prod 30deg, W","PV Prod 45deg, W","PV Prod 30deg, W","PV Prod 45deg, W"
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,-469.44,-665.39,469.44,665.39
10,-3147.4,-4410,3147.4,4410
11,-6155,-8476.6,6155,8476.6
12,-8130.1,-11213,8130.1,11213
13,-7440.3,-10449,7440.3,10449
14,-4568.3,-6736.4,4568.3,6736.4
15,-445.81,-692.48,445.81,692.48
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,-493.07,-697.67,493.07,697.67
34,-2729.8,-3772.5,2729.8,3772.5
35,-4464.7,-6013.7,4464.7,6013.7
36,-5271.1,-7082.2,5271.1,7082.2
37,-4873,-6668.4,4873,6668.4
38,-3164.1,-4550,3164.1,4550
39,-374.18,-554.63,374.18,554.63
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,-180.56,-218.64,180.56,218.64
58,-1041.4,-1320.9,1041.4,1320.9
59,-1911.2,-2393.2,1911.2,2393.2
60,-2445.5,-3090.2,2445.5,3090.2
61,-2589.8,-3375.9,2589.8,3375.9
62,-2182.2,-3038.9,2182.2,3038.9
63,-387.67,-560.55,387.67,560.55
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,-828.13,-1228.9,828.13,1228.9
82,-4074,-5764.9,4074,5764.9
83,-5862.5,-8014.3,5862.5,8014.3
84,-7000.1,-9544.7,7000.1,9544.7
85,-6432.9,-8921.5,6432.9,8921.5
86,-4199.8,-6103.9,4199.8,6103.9
87,-586.98,-902.17,586.98,902.17
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,-1137.3,-1743.9,1137.3,1743.9
106,-5605.9,-8071.3,5605.9,8071.3
107,-7537.2,-10434,7537.2,10434
108,-8121.9,-11143,8121.9,11143
109,-6739.3,-9349.9,6739.3,9349.9
110,-3845,-5535.5,3845,5535.5
111,-481.32,-716.07,481.32,716.07
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,-51.138,-62.232,51.138,62.232
129,-213.38,-259.5,213.38,259.5
130,-729.74,-873.24,729.74,873.24
131,-1155.6,-1378.1,1155.6,1378.1
132,-1432.8,-1705.4,1432.8,1705.4
133,-1143.8,-1376,1143.8,1376
134,-667.34,-809.07,667.34,809.07
135,-142.36,-170.03,142.36,170.03
136,-9.16E-13,-3.31E-13,9.15744E-13,3.3112E-13
137,-1.20E-13,-4.69E-14,1.19936E-13,4.69031E-14
138,-2.84E-15,-1.62E-15,2.83813E-15,1.62239E-15
139,2.93E-29,-3.59E-30,-2.93335E-29,3.59132E-30
140,-5.32E-45,7.55E-45,5.32319E-45,-7.54924E-45
141,-2.36E-48,3.65E-47,2.36449E-48,-3.64636E-47
142,4.18E-61,1.60E-60,-4.1812E-61,-1.59513E-60
143,-1.96E-64,-8.70E-63,1.9611E-64,8.69572E-63
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,-192.64,-232.22,192.64,232.22
154,-960.51,-1193.2,960.51,1193.2
155,-1514.3,-1834.8,1514.3,1834.8
156,-1651.1,-1984.7,1651.1,1984.7
157,-1289.1,-1550.8,1289.1,1550.8
158,-626.71,-760.35,626.71,760.35
159,-106.03,-120.79,106.03,120.79
160,-1.8345,-2.0444,1.8345,2.0444
161,-2.70E-16,1.23E-13,2.69851E-16,-1.22719E-13
162,1.48E-15,5.25E-15,-1.47959E-15,-5.25451E-15
163,1.26E-30,-4.16E-29,-1.26091E-30,4.15975E-29
164,7.76E-32,-8.47E-30,-7.7623E-32,8.46536E-30
165,-9.63E-32,-3.85E-31,9.6276E-32,3.84803E-31
166,-1.40E-46,4.62E-45,1.3999E-46,-4.61825E-45
167,-8.62E-48,9.40E-46,8.61789E-48,-9.39844E-46
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,-208.38,-251.38,208.38,251.38
178,-851.27,-1041.5,851.27,1041.5
179,-1191.5,-1397.8,1191.5,1397.8
180,-1381.1,-1616.5,1381.1,1616.5
181,-1242.3,-1483.4,1242.3,1483.4
182,-658.1,-796,658.1,796
183,-145.03,-174.27,145.03,174.27
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,-1135.2,-1717.2,1135.2,1717.2
202,-5436.1,-7743.5,5436.1,7743.5
203,-7012.3,-9600.4,7012.3,9600.4
204,-7801.2,-10599,7801.2,10599
205,-6735.2,-9254.3,6735.2,9254.3
206,-4103.5,-5835.8,4103.5,5835.8
207,-697.51,-1026.7,697.51,1026.7
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,-1034.4,-1526.8,1034.4,1526.8
226,-4480.8,-6287.1,4480.8,6287.1
227,-5388.1,-7241.7,5388.1,7241.7
228,-5168.5,-6825.8,5168.5,6825.8
229,-4513.7,-6018.8,4513.7,6018.8
230,-3119.1,-4330.2,3119.1,4330.2
231,-681.85,-973.94,681.85,973.94
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,-20.249,-30.67,20.249,30.67
249,-360.32,-466.72,360.32,466.72
250,-1044.5,-1290.1,1044.5,1290.1
251,-1445.7,-1722.2,1445.7,1722.2
252,-1657.7,-1970,1657.7,1970
253,-1381.9,-1649.1,1381.9,1649.1
254,-772.68,-937.95,772.68,937.95
255,-194.51,-230.05,194.51,230.05
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,0,0,0,0
272,-19.444,-29.7,19.444,29.7
273,-350.78,-450.32,350.78,450.32
274,-1241.5,-1553.7,1241.5,1553.7
275,-1986.5,-2437.3,1986.5,2437.3
276,-2332.8,-2857.6,2332.8,2857.6
277,-2927.9,-3761.7,2927.9,3761.7
278,-2304.7,-3061.1,2304.7,3061.1
279,-508.76,-659.65,508.76,659.65
